youtube_id,split,label,label_id,clip_relpath
-KA76yUSK44,test,playing cello,0,clips/test/000_playing_cello/-KA76yUSK44_000240.mp4
0RZRFj7zDnQ,test,playing cello,0,clips/test/000_playing_cello/0RZRFj7zDnQ_000030.mp4
7y9hIjH_7do,test,playing cello,0,clips/test/000_playing_cello/7y9hIjH_7do_000090.mp4
9ZCHzzCh5nk,test,playing cello,0,clips/test/000_playing_cello/9ZCHzzCh5nk_000030.mp4
ALtDtYnWFuo,test,playing cello,0,clips/test/000_playing_cello/ALtDtYnWFuo_000030.mp4
BHf4pvm-gGM,test,playing cello,0,clips/test/000_playing_cello/BHf4pvm-gGM_000030.mp4
Cp_wgmmliuk,test,playing cello,0,clips/test/000_playing_cello/Cp_wgmmliuk_000210.mp4
Guwl5G6Wr4Y,test,playing cello,0,clips/test/000_playing_cello/Guwl5G6Wr4Y_000030.mp4
Lryk9Xx53DM,test,playing cello,0,clips/test/000_playing_cello/Lryk9Xx53DM_000060.mp4
SR1a5VJqF8w,test,playing cello,0,clips/test/000_playing_cello/SR1a5VJqF8w_000080.mp4
Ss1zpZjEaE8,test,playing cello,0,clips/test/000_playing_cello/Ss1zpZjEaE8_000020.mp4
V-luZXfkZ9k,test,playing cello,0,clips/test/000_playing_cello/V-luZXfkZ9k_000000.mp4
Zook_bGHT3E,test,playing cello,0,clips/test/000_playing_cello/Zook_bGHT3E_000030.mp4
ioBOW6ynH28,test,playing cello,0,clips/test/000_playing_cello/ioBOW6ynH28_000010.mp4
ktis2aZfphM,test,playing cello,0,clips/test/000_playing_cello/ktis2aZfphM_000010.mp4
mywsmUl_07o,test,playing cello,0,clips/test/000_playing_cello/mywsmUl_07o_000020.mp4
3_A0AP3Xh9s,test,playing cymbal,1,clips/test/001_playing_cymbal/3_A0AP3Xh9s_000290.mp4
5yLw_p9YcQE,test,playing cymbal,1,clips/test/001_playing_cymbal/5yLw_p9YcQE_000040.mp4
63kQB4vuuHU,test,playing cymbal,1,clips/test/001_playing_cymbal/63kQB4vuuHU_000010.mp4
